Row 1: ['教育部认可的84项全国大学生学科竞赛名录', '', '', '', '', '', '', '', '', '', '', '']
Row 75: ['71', '全国大学生数字媒体科技作品及创意竞赛', '截止时间为 9 月 28 日', '校级赛：各高校自行组织，对本校参赛作品进行资格审查、评审等，推荐不超过 40% 的校赛总作品数量进入省（市）赛区。\n省（市）赛：对各校推荐作品进行评审，省（市）赛的一等奖作品获得推荐参加全国总决赛的入围资格，省（市）赛二等奖相当于国赛三等奖。\n全国总决赛：入围全国总决赛的队伍进行现场总决赛，角逐全国总决赛的一等奖、二等奖。\n', '指定命题\n“黄帝陵：中华文明的精神标识” 专项赛道：纪录片 / 短视频、互动展示设计、数字艺术作品、应用软件 / 小程序、文创衍生品。\n“元宇宙” 数字作品专项赛道：场景设计类、互动应用类、内容创作类、技术研究类。\nAIGC 类数字创意作品创作：数字艺术类作品、跨媒体类作品、智能交互类作品。\n“红色之旅 追梦铸魂” 专项赛道：数字媒体艺术作品、数字互动应用、数字影视作品、数字创意设计作品。\n“乡村振兴 科创赋能” 专项赛道：数字媒体艺术作品、智能科技应用方案、数字创意设计产品、数字影视作品。\n“民族文化 创新表达” 专项赛道：虚拟现实（VR）与增强现实（AR）作品、数字艺术作品、互动产品设计、视频与纪录片。\n“科技 + 创意，讲好中国故事” 专项赛道：数字媒体互动作品、智能科技应用项目、数字创意产品设计、数字影视作品。\n“虚幻引擎（UE）作品创作” 专项赛道：游戏设计与开发、虚拟现实（VR）应用设计、影视特效与动画设计、互动体验设计。\n自主命题：虚拟现实 VR 与游戏、移动应用开发、影视与动漫设计、智能产品设计、人居环境设计、数字艺术表现、数据可视化、电子图书绘本设计、智能软硬件创意作品、微信小程序应用设计等。\n', '无', '教育部批准设立的普通高等学校（含高职高专）各类在校生；近 5 年及以内毕业生的大学生初创团队（工作室）可参加 “指定命题”；教育部留学服务中心国外（境外）学历学位认证的国外高校在校学生，不限专业可报名指定命题赛道。以团队形式参赛，每个参赛团队成员不超过 5 名学生，需指定 1-2 名指导教师或研究生作为小组组长。鼓励跨专业和跨学校组队。参赛作品须为参赛队员独立设计、开发完成的原创作品，严禁抄袭、剽窃等行为。凡已公开发布并已获得商业价值的产品、有知识产权纠纷的作品、与企业合作即将对外发布的产品以及已经获得其他赛事奖项的作品不得参赛。', '', '', '', '', '']
Row 76: ['72', '全国本科院校税收风险管控案例大赛', '6 月 20 日 - 9 月 20 日', '校内赛：由各参赛学校自行组织，选拔出代表学校参与分区赛的队伍。\n分区赛：根据 22 个省、5 个自治区和 4 个直辖市的行政规划，设立 31 个分赛区。参赛队伍需在规定时间内提交原创税收风险管控案例分析报告等材料，案例提交的截止时间为 2024 年 10 月 14 日。\n总决赛：通过分区赛评分晋级全国总决赛的队伍名额设定为 160 支。总决赛时，晋级队伍需对原创案例进行分析、汇报与答辩。\n作品类别\n', '竞赛内容为自创税收风险管控案例分析，要求案例编撰侧重从采掘业，制造业，电力、热力、燃气及水生产和供应业，建筑业，批发和零售业，交通运输、仓储和邮政业，信息传输、软件和信息技术服务业，金融业，房地产业，文化、体育和娱乐业这十大行业中选取，案例涉及税费种类不限制。\n', '无', '参赛选手须为全日制本科院校在校生（本科生及硕士研究生均可报名）。以校为单位组队参赛，不得跨校组队，每支参赛队伍由 3 名选手组成，可配 1-3 名专业指导老师，并确定一名指导老师兼任领队。每支参赛队需提交一个原创案例。参赛队应通过调研等方式收集第一手案例资料，进行案例撰写和分析，根据相关财税理论与政策，结合案例背景，提出风险防控方案，以及解决问题的政策建议、实务操作建议。案例企业名称统一以某公司或甲、乙、丙、丁公司来代替，文本正文中不得出现任何院校信息等。\n', '', '', '', '', '']
Row 77: ['73', '全国企业竞争模拟大赛', '2025 年 1 月 25 日 18：00', '校内初赛：由各学校自行组织，选拔参加复赛的队伍。\n复赛：2025 年 2 月 18 日 - 2 月 21 日进行，采用快赛，7+1 赛制，第 1 期 90 分钟，其余每期 50 分钟，每期之间有 10 分钟的系统模拟时间，计划一天内完成。\n决赛：定于 2025 年 3 月 1 日，赛制为 7+1 赛制。是否加赛依据决策赛道第 1 赛区第 7 期期末排名第一的队伍综合评分来确定，综合评分小数点后第三位是奇数，则加赛做第 8 期；反之，比赛结束。\n', '企业决策赛道：采用 iBizSim 企业竞争模拟系统，各参赛团队需制定企业经营决策，包括生产、运输、市场营销等方面。\n企业运营赛道：采用 BizWar 企业经营竞争模拟软件，涉及产品研发、财务管理、经销商管理等经营决策制定。\n人力资源决策赛道：采用 hrbizsim 人力资源决策模拟训练系统，涵盖人力资源规划、薪酬设计等方面决策。\n数智沙盘赛道：采用 BizSand 数智商业经营模拟软件，从系统第 2 年或第 3 年开始模拟企业经营。\n', '无', '全国高校在籍注册的专科生、本科生和研究生。以高校为单位组队，不得跨校组队，每队 3 名选手，可邀请 1-2 名指导教师。企业决策赛道区分本科组和研究生组，企业运营赛道、人力资源决策赛道和数智沙盘赛道区分本科组和高职组。每所学校每个赛道报名全国复赛队伍上限为企业决策赛道、企业运营赛道、人力资源决策赛道分别不超过 10 支队伍，数智沙盘赛道不超过 8 支队伍。\n', '', '', '', '', '']
Row 78: ['74', '全国高等院校数智化企业经营沙盘竞赛', '4 月前完成报名', '校内选拔赛：由各参赛院校自主选拔，以团队形式统一报名，选拔出晋级省赛的队伍。\n省赛：以省或直辖市为单位进行网络或现场比赛。由执委会统一组织，技术支持单位负责执行，晋级总决赛名额根据报名情况按比例确定。\n全国总决赛：根据省赛选拔赛最终晋级名额确定，每所学校仅限一支团队晋级。采取网络比赛形式。\n', '不涉及传统意义上的作品提交类别，主要是参赛团队在 “数智企业经营管理沙盘” 平台上进行企业经营模拟操作，通过平台记录团队的经营决策数据和成果等。\n', '无', '参赛选手须为本科院校、高职院校同一学校全日制在籍学生。每队参赛人员 4 人，每队不超过 2 名指导教师。学校选送参赛队队员必须使用真实学生身份报名，如实填写参赛者姓名、所在学校、年级、联系方式、身份证等信息。参赛选手和指导教师报名获得确认后不得随意更换。如比赛前参赛选手和指导教师因故无法参赛，须在大赛开赛之前 10 个工作日出具书面说明，经大赛执委会核实后予以更换。', '', '', '', '', '']
Row 79: ['75', '全国数字建筑创新应用大赛', '每年5月至7月', '初赛：线上提交作品，评审团根据作品质量筛选入围队伍。\n复赛：线上或线下答辩，展示作品的技术创新和应用价值。\n决赛：现场展示和答辩，评选出最终获奖队伍。', '建筑设计创新\n施工管理创新\nBIM技术应用\n绿色建筑与可持续发展', '无明确配套赛事。', '高校在校生、研究生及企业人员均可组队参赛。每队3-5人，需有指导教师。作品需为原创，未参加过其他赛事。', '', '', '', '', '']
Row 80: ['76', '全球校园人工智能算法精英大赛', '每年9月至10月', '初赛：线上算法编程挑战，参赛者需在规定时间内完成指定任务。\n决赛：线下答辩和演示，展示算法的创新性和应用效果。', '人工智能算法\n机器学习模型\n深度学习应用\n自然语言处理', '无明确配套赛事。', '全球高校在校生，个人或团队参赛。团队不超过3人，需提供学生证明。作品需为原创，未参加过其他赛事。', '', '', '', '', '']
Row 81: ['77', '国际大学生智能农业装备创新大赛', '每年3月至5月', '初赛：线上提交作品，评审团根据创新性和实用性筛选入围队伍。\n决赛：现场展示和答辩，评选出最终获奖队伍。', '智能农业装备设计\n农业机器人\n农业物联网应用\n精准农业技术', '无明确配套赛事。', '国内外高校在校生，团队参赛。每队3-5人，需有指导教师。作品需为原创，未参加过其他赛事。', '', '', '', '', '']
Row 82: ['78', '“科云杯"全国大学生财会职业能力大赛', '每年4月至6月', '初赛：线上理论知识测试，考察财会基础知识。\n决赛：线下实操和案例分析，考察综合职业能力。', '财会职业能力\n财务管理\n税务筹划\n审计与风险管理', '无明确配套赛事。', '高校在校生，团队参赛。每队4人，需有指导教师。参赛者需具备一定的财会基础知识。', '', '', '', '', '']
Row 83: ['79', '全国职业院校技能大赛', '每年3月至4月', '省赛：各省市举办选拔赛，优胜队伍进入国赛。\n国赛：现场实操和答辩，评选出最终获奖队伍。', '信息技术\n智能制造\n服务业技能\n建筑工程', '各省市举办的选拔赛。', '职业院校在校生，个人或团队参赛。具体人数视项目而定，通常每队2-4人。参赛者需具备相关技能基础。', '', '', '', '', '']
Row 84: ['80', '全国大学生机器人大赛-RoboTac', '每年1月至3月', '分区赛：线上或线下机器人对抗，优胜队伍进入总决赛。\n总决赛：现场机器人对抗，评选出最终获奖队伍。', '机器人设计\n机器人对抗\n机器人编程', '无明确配套赛事。\n', '高校在校生，团队参赛。每队5-10人，需有指导教师。机器人需符合赛事规定。', '', '', '', '', '']
Row 85: ['81', '世界技能大赛', '在每届大赛前一年开始报名，具体时间视国家选拔赛而定', '国家选拔赛：各国举办国内选拔赛，优胜者进入国际总决赛。\n国际总决赛：全球技能竞技，评选出世界冠军。', '焊接\n美容\n烹饪\nIT技能', '各国举办的国内选拔赛。', '年龄在22岁以下的技能人才。需通过国家选拔赛。', '', '', '', '', '']
Row 86: ['82', '世界技能大赛中国选拔赛', '在每届大赛前一年开始报名，具体时间视国家选拔赛而定', '省市选拔赛：各省市举办选拔赛，优胜者进入全国总决赛。\n全国总决赛：评选出代表中国参加世界技能大赛的选手。', '与世界技能大赛相同，涵盖多个技能领域。', '各省市举办的选拔赛。', '年龄在22岁以下的技能人才。需通过省市选拔赛。', '', '', '', '', '']
Row 87: ['83', '一带一路暨金砖国家技能发展与技术创新大赛', '每年5月至7月', '国内选拔赛：线上或线下比赛，优胜者进入国际总决赛。\n国际总决赛：现场竞技，评选出最终获奖队伍。', '智能制造\n信息技术\n新能源技术', '国内选拔赛。', '高校、职业院校学生及企业技术人员。团队或个人参赛，具体人数视项目而定。', '', '', '', '', '']
Row 88: ['84', '码蹄杯全国职业院校程序设计大赛', '每年9月至10月', '初赛：线上编程挑战，参赛者需在规定时间内完成指定任务。\n决赛：现场编程和答辩，评选出最终获奖队伍。', '程序设计\n算法设计\n软件开发', '无明确配套赛事。', '职业院校在校生，个人或团队参赛。团队不超过3人，需提供学生证明。作品需为原创，未参加过其他赛事。', '', '', '', '', '']
Row 89: ['注：表内信息均参考往年竞赛活动通知，仅供参考，最终报名时间及竞赛赛制以官方通知为准。', '', '', '', '', '', '', '', '', '', '', '']
Row 90: ['', '', '', '', '', '', '', '', '', '', '', '']
